file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/IndexTree.java,IndexTree,class,5,7,2,5,19,1,0,13,0,0.14285715,0.71428573,0.71428573,7,0,7,0,0,0,7,0,0,0,1,0,0,1,0,0,0,0,0,71,3,3,4,1,0,1,0,12,0,8,3,0,0,0,26,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/Table.java,Table,class,6,8,2,6,121,1,0,82,289,0.8354839,0.15151516,0.18181819,31,6,12,19,0,0,12,0,0,0,10,3,0,10,0,0,0,0,7,469,34,31,19,8,3,63,21,117,23,100,4,0,0,0,103,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/User.java,User,class,1,3,2,1,25,1,0,9,18,0.76666665,0.33333334,0.7777778,12,3,9,3,0,0,9,0,0,0,5,2,2,3,0,0,2,0,1,103,7,0,2,3,0,11,4,25,3,16,2,0,0,0,40,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/IndexKey.java,IndexKey,class,1,4,3,1,15,1,0,11,0,0.33333334,0.8,1.0,6,0,6,0,0,0,6,0,0,0,2,0,0,2,0,0,0,0,5,46,10,0,6,1,1,4,2,4,0,4,2,0,0,0,24,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/Join.java,Join,class,4,6,2,4,24,1,0,30,10,0.0,NaN,NaN,5,5,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,92,8,9,8,0,0,2,5,26,1,21,4,0,0,0,34,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/Index.java,Index,class,0,2,2,0,3,1,0,0,0,0.33333334,0.6666667,1.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0,0,14,2,0,0,0,0,0,0,2,0,2,0,0,0,0,9,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/Operating.java,Operating,class,9,11,2,9,60,1,0,70,45,0.9,NaN,NaN,10,0,1,9,0,0,1,0,0,0,10,10,0,10,0,0,10,0,32,313,9,28,19,0,0,71,26,104,20,103,3,0,0,0,106,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/JoinCondition.java,JoinCondition,class,2,6,4,2,18,1,0,2,0,0.575,0.2857143,0.75,8,2,8,0,0,0,8,0,0,0,5,0,0,5,0,0,0,0,0,60,10,2,0,0,0,6,0,13,2,7,3,0,0,0,23,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/Field.java,Field,class,0,7,7,0,6,1,0,0,9,0.6666667,0.2,0.2,6,0,6,0,0,0,6,0,0,0,3,0,0,3,0,0,0,0,0,23,3,0,0,0,0,0,0,3,0,3,0,0,0,0,11,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/Test.java,Test,class,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/Relationship.java,Relationship,enum,3,8,5,3,27,1,0,18,4,0.5,0.16666667,0.16666667,4,4,3,1,0,0,4,0,0,0,1,1,0,1,0,0,1,0,3,113,17,0,7,4,0,15,3,28,2,26,2,0,0,0,59,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/IndexNode.java,IndexNode,class,2,4,2,2,5,1,0,5,0,0.0,1.0,1.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,21,2,1,0,0,0,0,0,4,0,4,1,0,0,0,12,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/StringUtil.java,StringUtil,class,1,2,1,1,30,1,0,18,15,0.71428573,0.14285715,0.14285715,7,7,7,0,0,0,7,0,0,0,2,2,0,2,0,0,2,0,2,130,9,8,9,0,0,28,30,35,2,32,3,0,0,0,58,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/SingleFilter.java,SingleFilter,class,2,4,2,2,10,1,0,3,0,0.44444445,0.6666667,1.0,6,0,6,0,0,0,6,0,0,0,3,0,0,3,0,0,0,0,3,39,6,1,2,0,0,0,0,6,0,6,2,0,0,0,17,1,0
